timestamp_main,normal_time,P_gpu_W,t_seconds
1628599100.4,2021-08-10 12:38:20.400000095,9600.3,18.7
1628599100.5,2021-08-10 12:38:20.500000000,9576.18,18.8
1628599100.6,2021-08-10 12:38:20.599999905,9157.83,18.900000000000002
1628599100.7,2021-08-10 12:38:20.700000048,9129.04,19.0
1628599100.8,2021-08-10 12:38:20.799999952,9413.759999999997,19.1
1628599100.9,2021-08-10 12:38:20.900000095,9499.520000000006,19.200000000000003
1628599101.0,2021-08-10 12:38:21.000000000,9340.230000000009,19.3
1628599101.1,2021-08-10 12:38:21.099999905,9054.139999999998,19.400000000000002
1628599101.2,2021-08-10 12:38:21.200000048,7926.179999999999,19.5
1628599101.3,2021-08-10 12:38:21.299999952,7884.259999999998,19.6
1628599101.4,2021-08-10 12:38:21.400000095,9118.040000000006,19.700000000000003
1628599101.5,2021-08-10 12:38:21.500000000,8966.230000000003,19.8
1628599101.6,2021-08-10 12:38:21.599999905,8881.130000000001,19.900000000000002
1628599101.7,2021-08-10 12:38:21.700000048,8625.100000000004,20.0
1628599101.8,2021-08-10 12:38:21.799999952,8973.22,20.1
1628599101.9,2021-08-10 12:38:21.900000095,9314.65,20.200000000000003
1628599102.0,2021-08-10 12:38:22.000000000,9308.820000000009,20.3
1628599102.1,2021-08-10 12:38:22.099999905,8890.050000000001,20.400000000000002
1628599102.2,2021-08-10 12:38:22.200000048,8690.059999999998,20.5
1628599102.3,2021-08-10 12:38:22.299999952,8322.050000000001,20.6
1628599102.4,2021-08-10 12:38:22.400000095,8650.59,20.700000000000003
1628599102.5,2021-08-10 12:38:22.500000000,8783.300000000001,20.8
1628599102.6,2021-08-10 12:38:22.599999905,9311.070000000003,20.900000000000002
1628599102.7,2021-08-10 12:38:22.700000048,9133.560000000003,21.0
1628599102.8,2021-08-10 12:38:22.799999952,9106.70999999999,21.1
1628599102.9,2021-08-10 12:38:22.900000095,9161.43,21.200000000000003
1628599103.0,2021-08-10 12:38:23.000000000,8809.149999999998,21.3
1628599103.1,2021-08-10 12:38:23.099999905,8888.669999999998,21.400000000000002
1628599103.2,2021-08-10 12:38:23.200000048,8677.989999999996,21.5
1628599103.3,2021-08-10 12:38:23.299999952,8296.0,21.6
1628599103.4,2021-08-10 12:38:23.400000095,8548.359999999997,21.700000000000003
1628599103.5,2021-08-10 12:38:23.500000000,9150.750000000004,21.8
1628599103.6,2021-08-10 12:38:23.599999905,9046.489999999996,21.900000000000002
1628599103.7,2021-08-10 12:38:23.700000048,9047.15,22.0
1628599103.8,2021-08-10 12:38:23.799999952,9100.36,22.1
1628599103.9,2021-08-10 12:38:23.900000095,9003.13,22.200000000000003
1628599104.0,2021-08-10 12:38:24.000000000,9200.470000000005,22.3
1628599104.1,2021-08-10 12:38:24.099999905,8857.609999999999,22.400000000000002
1628599104.2,2021-08-10 12:38:24.200000048,9259.69,22.5
1628599104.3,2021-08-10 12:38:24.299999952,8782.889999999996,22.6
1628599104.4,2021-08-10 12:38:24.400000095,8110.389999999995,22.700000000000003
1628599104.5,2021-08-10 12:38:24.500000000,8548.729999999998,22.8
1628599104.6,2021-08-10 12:38:24.599999905,9077.129999999994,22.900000000000002
1628599104.7,2021-08-10 12:38:24.700000048,9180.510000000002,23.0
1628599104.8,2021-08-10 12:38:24.799999952,8882.769999999995,23.1
1628599104.9,2021-08-10 12:38:24.900000095,8945.900000000003,23.200000000000003
1628599105.0,2021-08-10 12:38:25.000000000,8842.739999999996,23.3
1628599105.1,2021-08-10 12:38:25.099999905,9390.739999999998,23.400000000000002
1628599105.2,2021-08-10 12:38:25.200000048,8991.909999999996,23.5
1628599105.3,2021-08-10 12:38:25.299999952,8958.23,23.6
1628599105.4,2021-08-10 12:38:25.400000095,8581.289999999997,23.700000000000003
1628599105.5,2021-08-10 12:38:25.500000000,8546.889999999998,23.8
1628599105.6,2021-08-10 12:38:25.599999905,8737.299999999996,23.900000000000002
1628599105.7,2021-08-10 12:38:25.700000048,9145.37,24.0
1628599105.8,2021-08-10 12:38:25.799999952,9013.419999999996,24.1
1628599105.9,2021-08-10 12:38:25.900000095,9150.289999999995,24.200000000000003
1628599106.0,2021-08-10 12:38:26.000000000,8878.63,24.3
1628599106.1,2021-08-10 12:38:26.099999905,8932.649999999996,24.400000000000002
1628599106.2,2021-08-10 12:38:26.200000048,9033.079999999994,24.5
1628599106.3,2021-08-10 12:38:26.299999952,8850.939999999997,24.6
1628599106.4,2021-08-10 12:38:26.400000095,8839.800000000003,24.700000000000003
1628599106.5,2021-08-10 12:38:26.500000000,8602.400000000001,24.8
1628599106.6,2021-08-10 12:38:26.599999905,8676.499999999998,24.900000000000002
1628599106.7,2021-08-10 12:38:26.700000048,9171.410000000002,25.0
1628599106.8,2021-08-10 12:38:26.799999952,8748.920000000004,25.1
1628599106.9,2021-08-10 12:38:26.900000095,9119.6,25.200000000000003
1628599107.0,2021-08-10 12:38:27.000000000,9202.56,25.3
1628599107.1,2021-08-10 12:38:27.099999905,8766.920000000002,25.400000000000002
1628599107.2,2021-08-10 12:38:27.200000048,9238.240000000002,25.5
1628599107.3,2021-08-10 12:38:27.299999952,8853.039999999997,25.6
1628599107.4,2021-08-10 12:38:27.400000095,8964.070000000003,25.700000000000003
1628599107.5,2021-08-10 12:38:27.500000000,7841.199999999998,25.8
1628599107.6,2021-08-10 12:38:27.599999905,7059.500000000002,25.900000000000002
1628599107.7,2021-08-10 12:38:27.700000048,12185.740000000002,26.0
1628599107.8,2021-08-10 12:38:27.799999952,13193.96,26.1
1628599107.9,2021-08-10 12:38:27.900000095,13535.18,26.200000000000003
1628599108.0,2021-08-10 12:38:28.000000000,13499.580000000007,26.3
1628599108.1,2021-08-10 12:38:28.099999905,13422.47,26.400000000000002
1628599108.2,2021-08-10 12:38:28.200000048,13684.910000000003,26.5
1628599108.3,2021-08-10 12:38:28.299999952,13503.749999999996,26.6
1628599108.4,2021-08-10 12:38:28.400000095,13721.990000000003,26.700000000000003
1628599108.5,2021-08-10 12:38:28.500000000,13498.179999999998,26.8
1628599108.6,2021-08-10 12:38:28.599999905,13502.13,26.900000000000002
1628599108.7,2021-08-10 12:38:28.700000048,13272.209999999995,27.0
1628599108.8,2021-08-10 12:38:28.799999952,12865.949999999995,27.1
1628599108.9,2021-08-10 12:38:28.900000095,12384.210000000005,27.200000000000003
1628599109.0,2021-08-10 12:38:29.000000000,11926.690000000002,27.3
1628599109.1,2021-08-10 12:38:29.099999905,11070.800000000008,27.400000000000002
1628599109.2,2021-08-10 12:38:29.200000048,11217.110000000004,27.5
1628599109.3,2021-08-10 12:38:29.299999952,12135.73,27.6
1628599109.4,2021-08-10 12:38:29.400000095,13349.15,27.700000000000003
1628599109.5,2021-08-10 12:38:29.500000000,13508.46999999999,27.8
1628599109.6,2021-08-10 12:38:29.599999905,13449.66,27.900000000000002
1628599109.7,2021-08-10 12:38:29.700000048,13345.169999999998,28.0
1628599109.8,2021-08-10 12:38:29.799999952,13618.31,28.1
1628599109.9,2021-08-10 12:38:29.900000095,13615.310000000003,28.200000000000003
1628599110.0,2021-08-10 12:38:30.000000000,13730.459999999995,28.3
1628599110.1,2021-08-10 12:38:30.099999905,13578.860000000002,28.400000000000002
1628599110.2,2021-08-10 12:38:30.200000048,13543.429999999998,28.5
1628599110.3,2021-08-10 12:38:30.299999952,13247.29,28.6
1628599110.4,2021-08-10 12:38:30.400000095,13023.47,28.700000000000003
1628599110.5,2021-08-10 12:38:30.500000000,12045.720000000005,28.8
1628599110.6,2021-08-10 12:38:30.599999905,11932.610000000002,28.900000000000002
1628599110.7,2021-08-10 12:38:30.700000048,11407.470000000005,29.0
1628599110.8,2021-08-10 12:38:30.799999952,11177.249999999996,29.1
1628599110.9,2021-08-10 12:38:30.900000095,12370.469999999998,29.200000000000003
1628599111.0,2021-08-10 12:38:31.000000000,12946.19,29.3
1628599111.1,2021-08-10 12:38:31.099999905,13434.460000000005,29.400000000000002
1628599111.2,2021-08-10 12:38:31.200000048,13475.730000000009,29.5
1628599111.3,2021-08-10 12:38:31.299999952,13515.860000000002,29.6
1628599111.4,2021-08-10 12:38:31.400000095,13549.660000000002,29.700000000000003
1628599111.5,2021-08-10 12:38:31.500000000,13623.509999999998,29.8
1628599111.6,2021-08-10 12:38:31.599999905,13697.73,29.900000000000002
1628599111.7,2021-08-10 12:38:31.700000048,13546.419999999998,30.0
1628599111.8,2021-08-10 12:38:31.799999952,13437.249999999996,30.1
1628599111.9,2021-08-10 12:38:31.900000095,13217.579999999996,30.200000000000003
1628599112.0,2021-08-10 12:38:32.000000000,12763.220000000005,30.3
1628599112.1,2021-08-10 12:38:32.099999905,12389.069999999998,30.400000000000002
1628599112.2,2021-08-10 12:38:32.200000048,11584.200000000006,30.5
1628599112.3,2021-08-10 12:38:32.299999952,11507.580000000002,30.6
1628599112.4,2021-08-10 12:38:32.400000095,11821.319999999998,30.700000000000003
1628599112.5,2021-08-10 12:38:32.500000000,12111.640000000005,30.8
1628599112.6,2021-08-10 12:38:32.599999905,13178.61,30.900000000000002
1628599112.7,2021-08-10 12:38:32.700000048,13397.680000000004,31.0
1628599112.8,2021-08-10 12:38:32.799999952,13217.28000000001,31.1
1628599112.9,2021-08-10 12:38:32.900000095,13595.900000000003,31.200000000000003
1628599113.0,2021-08-10 12:38:33.000000000,13515.380000000008,31.3
1628599113.1,2021-08-10 12:38:33.099999905,13704.159999999998,31.400000000000002
1628599113.2,2021-08-10 12:38:33.200000048,13666.77,31.5
1628599113.3,2021-08-10 12:38:33.299999952,13513.700000000004,31.6
1628599113.4,2021-08-10 12:38:33.400000095,13254.810000000003,31.700000000000003
1628599113.5,2021-08-10 12:38:33.500000000,13201.089999999998,31.8
1628599113.6,2021-08-10 12:38:33.599999905,12566.460000000008,31.900000000000002
1628599113.7,2021-08-10 12:38:33.700000048,12391.149999999998,32.0
1628599113.8,2021-08-10 12:38:33.799999952,11899.629999999996,32.1
1628599113.9,2021-08-10 12:38:33.900000095,11491.479999999998,32.2
1628599114.0,2021-08-10 12:38:34.000000000,12128.959999999992,32.300000000000004
1628599114.1,2021-08-10 12:38:34.099999905,12288.320000000002,32.4
1628599114.2,2021-08-10 12:38:34.200000048,12964.189999999997,32.5
1628599114.3,2021-08-10 12:38:34.299999952,13400.18,32.6
1628599114.4,2021-08-10 12:38:34.400000095,13183.170000000002,32.7
1628599114.5,2021-08-10 12:38:34.500000000,13514.23,32.800000000000004
1628599114.6,2021-08-10 12:38:34.599999905,13481.720000000005,32.9
1628599114.7,2021-08-10 12:38:34.700000048,13741.44,33.0
1628599114.8,2021-08-10 12:38:34.799999952,13575.700000000004,33.1
1628599114.9,2021-08-10 12:38:34.900000095,13390.829999999998,33.2
1628599115.0,2021-08-10 12:38:35.000000000,13256.65,33.300000000000004
1628599115.1,2021-08-10 12:38:35.099999905,12877.86000000001,33.4
1628599115.2,2021-08-10 12:38:35.200000048,12918.000000000004,33.5
1628599115.3,2021-08-10 12:38:35.299999952,12321.580000000004,33.6
1628599115.4,2021-08-10 12:38:35.400000095,12288.949999999995,33.7
1628599115.5,2021-08-10 12:38:35.500000000,12014.419999999998,33.800000000000004
1628599115.6,2021-08-10 12:38:35.599999905,11718.669999999993,33.9
1628599115.7,2021-08-10 12:38:35.700000048,12342.090000000002,34.0
1628599115.8,2021-08-10 12:38:35.799999952,12870.350000000002,34.1
1628599115.9,2021-08-10 12:38:35.900000095,13328.820000000002,34.2
